community link,community title,jupiter id,hydra noid,fedora3 uuid,Scholaris Link
https://era.library.ualberta.ca/communities/e4bfca1e-73b7-4f62-a2e1-5f9591b97e99,The NSERC TRIA Network (TRIA-Net),e4bfca1e-73b7-4f62-a2e1-5f9591b97e99,gq67jt759,,https://ualberta-dev.scholaris.ca/handle/123456789/1870
https://era.library.ualberta.ca/communities/e4fdd15f-c21d-4612-a2f7-bfec3fdfc1de,Oil Sands Research and Information Network (OSRIN),e4fdd15f-c21d-4612-a2f7-bfec3fdfc1de,44558r85v,uuid:81b7dcc7-78f7-4adf-a703-6688b82090f5,https://ualberta-dev.scholaris.ca/handle/123456789/1872
https://era.library.ualberta.ca/communities/e9621d08-f77d-48f9-929a-1aced255364e,Polar Libraries Colloquy,e9621d08-f77d-48f9-929a-1aced255364e,,,https://ualberta-dev.scholaris.ca/handle/123456789/1882
https://era.library.ualberta.ca/communities/e9e07d1c-dcaa-449b-8bdc-13b3f51a7a1c,Women and Children's Health Research Institute,e9e07d1c-dcaa-449b-8bdc-13b3f51a7a1c,44558r775,uuid:9221ed87-0f0a-41ed-8199-983a571ea3ca,https://ualberta-dev.scholaris.ca/handle/123456789/1884
https://era.library.ualberta.ca/communities/ec2674fb-bb6a-47bb-8d47-c29c40e98bb1,WorkSpace Canada Project,ec2674fb-bb6a-47bb-8d47-c29c40e98bb1,,,https://ualberta-dev.scholaris.ca/handle/123456789/1889
https://era.library.ualberta.ca/communities/ecc140b9-8c72-485c-b10f-87eb8989e727,"Psychiatry, Department of",ecc140b9-8c72-485c-b10f-87eb8989e727,44558r40h,uuid:cff84f5e-96fb-4d10-a560-61e1861f51aa,https://ualberta-dev.scholaris.ca/handle/123456789/1891
https://era.library.ualberta.ca/communities/eee45969-753c-4b1d-a20f-c126f57916e9,"Art and Design, Department of",eee45969-753c-4b1d-a20f-c126f57916e9,44558r529,uuid:f42d7864-58df-430e-9e52-9d0f1100e39b,https://ualberta-dev.scholaris.ca/handle/123456789/1893
https://era.library.ualberta.ca/communities/efa945f3-c833-420e-b8cc-1f6197609229,"Agricultural, Life, and Environmental Sciences, Faculty of",efa945f3-c833-420e-b8cc-1f6197609229,44558r75m,uuid:caad24a4-f5c8-470b-a342-516f6cf33ac6,https://ualberta-dev.scholaris.ca/handle/123456789/1899
https://era.library.ualberta.ca/communities/f2ad1980-7164-4e76-a9c3-57b074f5c948,School of Public Health,f2ad1980-7164-4e76-a9c3-57b074f5c948,44558r308,uuid:85bf5c6e-e252-487a-ab98-8c5b20dfffbf,https://ualberta-dev.scholaris.ca/handle/123456789/1904
https://era.library.ualberta.ca/communities/f4f394ae-51c2-4321-8de5-89f3b00b72fc,Shevchenko Scientific Society of Canada,f4f394ae-51c2-4321-8de5-89f3b00b72fc,hm50tv57q,,https://ualberta-dev.scholaris.ca/handle/123456789/1913
https://era.library.ualberta.ca/communities/f7766168-d234-491a-b27c-2c4a5eecbc99,"Medicine and Dentistry, Faculty of",f7766168-d234-491a-b27c-2c4a5eecbc99,44558r10s,uuid:b496aebe-1e5a-4a23-8492-9bbd382367de,https://ualberta-dev.scholaris.ca/handle/123456789/1915
https://era.library.ualberta.ca/communities/f881612c-0ede-411d-a55b-6eccbfed707a,Western Centre for Economic Research,f881612c-0ede-411d-a55b-6eccbfed707a,44558r71h,uuid:a4419cb7-0c6f-48c2-baba-dee7670afc70,https://ualberta-dev.scholaris.ca/handle/123456789/1928
https://era.library.ualberta.ca/communities/fb40c182-4da5-4f4b-af54-d311ba0df7be,WISEST Summer Research Program,fb40c182-4da5-4f4b-af54-d311ba0df7be,44558r54v,uuid:42a6ab0f-e320-47ba-baf9-781017547980,https://ualberta-dev.scholaris.ca/handle/123456789/1932
https://era.library.ualberta.ca/communities/fbf6bf07-32be-49da-9707-1d443bbd851c,"Mechanical Engineering, Department of",fbf6bf07-32be-49da-9707-1d443bbd851c,44558r08r,uuid:953854de-3dbe-4608-9618-9edb167201b4,https://ualberta-dev.scholaris.ca/handle/123456789/1934
https://era.library.ualberta.ca/communities/fd063c06-fb5c-42e3-9d9e-47af77088a46,Railway Ground Hazards Research Project (RGHRP),fd063c06-fb5c-42e3-9d9e-47af77088a46,,,https://ualberta-dev.scholaris.ca/handle/123456789/1938
